Ticket id,Interaction id,Interaction date,Mailbox,x_ts,x_ic,Innso TYPOLOGY_TICKET ,y1,y2,y3,y4
24310,68365,,support.eu@aspiegel.com,huawei music  problems and suggestions,,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,
24075,67730,,support.pt@aspiegel.com,appgallery  problems and suggestions,description update cannot be installed contact information description update cannot be installed contact information description update cannot be installed contact information description update cannot be installed contact information,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't update Apps
24075,67762,,support.pt@aspiegel.com,appgallery problems and suggestions      appgallery problems and suggestions,thanks after reinstalling the app xxxxxxx works everything perfectly mfg wrote on do with aspiegel we hope you are well to be able to offer you the best solution we ask you to specify your request with the following information description of the problem axxxx screen shot or video recording of the defect screen shot or video recording of the defect screen shot or video recording of the defect screen shot or video recording of the defect screen shot or video recording of the defect screen shot screen shot screen shot screen shot screen shot screen shot screen shot screen shot screen shot,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't update Apps
23748,66706,,support.pt@aspiegel.com,appgallery problems and suggestions,contact information,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Suggestion,AppGallery-Use,Others
23740,66684,,support.eu@aspiegel.com,,paid but the application did not work can be refunded paid but the application did not work can be refunded,AppGallery &amp; Games / Refund request : app/item purchased not working as expected ,AppGallery &amp; Games ,Problem/Fault,Third Party APPs,Refund
23683,66429,,support.eu@aspiegel.com,,product appgallery games requests using appgallery e manage service country contact full name in lavrador ramos phone numbe contact email address sum of the issue would like to know how can use voucher that won on app gallery since the store now was put together with other store and still have the voucher to use thanks in advance home news events products partners support copyright aspiegel se,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions
23683,67433,,support.eu@aspiegel.com,,so the campaign name was xmas download and win play pt as you will see in the screenshot will send you and won voucher to use it in online store called but now is part of other company store called and what my huawei d service country thanks in advance ter de set de escreveu we hope you re doing well this email is regarding your concern about worry will do my best to solve your problem as soon as possible in order to analyze your case in detail will need the following information from you error screenshot the name of the champagne you have attended your huawei id service country we would greatly appreciate your feedback regarding our email exchange as we need your input to keep improving our service therefore we invite you to fill in the survey that will soon arrive on the email address you used to contact us if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely silvia to support issue submit product appgallery games requests using appgallery e manage service country contact full name in lavrador ramos phone numbe contact email address sum of the issue would like to know how can use voucher that won on app gallery since the store now was put together with other store and still have the voucher to use thanks in advance home news events products partners support copyright se,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions
23683,67516,,support.eu@aspiegel.com,,have to an account there also don speak german escreveu no dia quinta sehr geehrter kunde wir empfehlen ihnen uns ber den discord kanal https discord gg tkyzc cagu direkt von ihrem computer aus zu kontaktieren haben discord zu benutzen oder wenn sie es vorziehen dass wir den fall bearbeiten geben sie uns bitte folgende informationen r weitere untersuchungen ihr dienstland appgallery ich einstellungen land ihre discord kontaktinformationen falls zutreffend wenn sie weitere fragen haben antworten sie bitte auf diesen mail und wir helfen ihnen gerne bei ihren zweifeln weiter andrea to support issue submit so the campaign name was xmas download and win play pt as you will see in the screenshot will send you and won voucher to use it in online store called but now is part of other company store called and what my huawei d service country thanks in advance ter de set de escreveu we hope you re doing well this email is regarding your concern about worry will do my best to solve your problem as soon as possible in order to analyze your case in detail will need the following information from you error screenshot the name of the champagne you have attended your huawei id service country we would greatly appreciate your feedback regarding our email exchange as we need your input to keep improving our service therefore we invite you to fill in the survey that will soon arrive on the email address you used to contact us if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely silvia to support issue submit product appgallery games requests using appgallery e manage service country contact full name in lavrador ramos phone numbe contact email address sum of the issue would like to know how can use voucher that won on app gallery since the store now was put together with other store and still have the voucher to use thanks in advance home news events products partners support copyright se,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions
23683,67915,,support.eu@aspiegel.com,,sure the country of my app gallery and my country is portugal can enter on discord sorry don understand it qui de set de escreveu this email is regarding your concern about voucher we recommend that you contact us through the discord channel https discord gg tkyzc cagu directly from your computer if you are having difficulty using discord or if you prefer us to handle the case please provide us with the following information for further investigation your country of service appgallery me settings country your discord contact information if applicable if you have any further questions please reply to this mail and we will be happy to help you with your doubts sincerely andrea to support issue submit have to an account there also don speak german escreveu no dia quinta sehr geehrter kunde wir empfehlen ihnen uns ber den discord kanal https discord gg tkyzc cagu direkt von ihrem computer aus zu kontaktieren haben discord zu benutzen oder wenn sie es vorziehen dass wir den fall bearbeiten geben sie uns bitte folgende informationen r weitere untersuchungen ihr dienstland appgallery ich einstellungen land ihre discord kontaktinformationen falls zutreffend wenn sie weitere fragen haben antworten sie bitte auf diesen mail und wir helfen ihnen gerne bei ihren zweifeln weiter andrea to support issue submit so the campaign name was xmas download and win play pt as you will see in the screenshot will send you and won voucher to use it in online store called but now is part of other company store called and what my huawei d service country thanks in advance ter de set de escreveu we hope you re doing well this email is regarding your concern about worry will do my best to solve your problem as soon as possible in order to analyze your case in detail will need the following information from you error screenshot the name of the champagne you have attended your huawei id service country we would greatly appreciate your feedback regarding our email exchange as we need your input to keep improving our service therefore we invite you to fill in the survey that will soon arrive on the email address you used to contact us if you have any further questions please feel free to reply to this email thread and we will be happy to walk you through your doubts sincerely silvia to support issue submit product appgallery games requests using appgallery e manage service country contact full name in lavrador ramos phone numbe contact email address sum of the issue would like to know how can use voucher that won on app gallery since the store now was put together with other store and still have the voucher to use thanks in advance home news events products partners support copyright se,"AppGallery &amp; Games /  Information request (e.g. prize delivery timeframe, how to join campaign)",AppGallery &amp; Games ,Suggestion,VIP / Offers / Promotions,Offers / Vouchers / Promotions
23624,66266,,support.pt@aspiegel.com,gamecentre problems and suggestions,description no moontoon contact information,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't download Apps
23555,65977,,support.pt@aspiegel.com,appgallery  problems and suggestions,description don understand why dns is never working can you help me contact information send from my cell phone,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,General,Cannot connect - Server
23534,65883,,support.pt@aspiegel.com,appgallery  problems and suggestions,description commit can not be installed contact information,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps
23477,65661,,support.pt@aspiegel.com,appgallery problems and suggestions,huawei health on mon pm wrote hi we appreciate your contact our support representatives will check your message and get back to you as soon as possible we appreciate your patience and cooperation sincerely aspiegel aspiegel se is company incorporated under the laws of ireland headquartered in dublin ireland aspiegel se is the huawei mobile services provider for huawei and honor device owners in europe huawi health on mon pm wrote for your contact,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,
23452,65616,,support.pt@aspiegel.com,appgallery  problems and suggestions,description can install contact information description can install contact information send from my huawei cell phone,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps
23429,65569,,support.pt@aspiegel.com,appgallery  problems and suggestions,description does not install contact information description does not install contact information,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Can't install Apps
23395,65482,,support.pt@aspiegel.com,appgallery  problems and solutions,description in the area where am there is no connection fastweb devices and we have difficulties with calls no connection to the internet contact information sent from my huawei tabletdescrizione nella zona in cui mi trovo non connessione dispositivi fastweb ed abbiamo difficolt con le chiamate nessuna connessione ad internet informazioni di contatto inviato dal mio tablet huawei,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,
23230,65024,,support.pt@aspiegel.com,appgallery problems and suggestions,description what up contact info sent from my phone huawei description what up contact information send from my phone huawei,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,
23229,65022,,support.pt@aspiegel.com,appgallery problems and suggestions,description what up contact information send from my huawei phone,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,
23212,64982,,support.pt@aspiegel.com,appgallery problems and suggestions,ok description what up contact information send from my huawei phone,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Others,,
23194,64946,,support.pt@aspiegel.com,appgallery problems and suggestions,description installation error contact information,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue
23193,64944,,support.pt@aspiegel.com,appgallery problems and suggestions,beskrivelse installation fejl kontaktoplysninger,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue
23189,64938,,support.pt@aspiegel.com,appgallery problems and suggestions,description please manage them contact information,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Suggestion,General,Personal data
23188,64936,,support.pt@aspiegel.com,appgallery problems and suggestions,description of contact information,AppGallery &amp; Games / Other Requests,AppGallery &amp; Games ,Suggestion,General,Personal data
23056,64550,44805.93403,support.pt@aspiegel.com,appgallery problems and suggestions,description my phone data and privacy is insecure all apps and accounts are copied and shared by third parties without my consent wish to report that everything used here is still not private as we speak m scared and frustrated about this issue contact information,AppGallery &amp; Games / Report a scam or fraud ,AppGallery &amp; Games ,Suggestion,General,Personal data
23055,64549,44805.91319,support.pt@aspiegel.com,appgallery problemy i sugestie,description no installation possibility contact information,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue
23054,64548,44805.91319,support.pt@aspiegel.com,appgallery problemy i sugestie,description no installation possible contact information description no installation information,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,AppGallery-Install/Upgrade,Other download/install/update issue
23052,64544,44805.88819,support.pt@aspiegel.com,appgallery problems and suggestions,no information is available contact information,AppGallery &amp; Games / Suggestions &amp; Feedback,AppGallery &amp; Games ,Problem/Fault,General,AppGallery not loading
